"datetime","0","4","8","20","12","16","10","14","18","22","6","2","3","5","15","1","19"
"2019-10-27 19:00:00",4.67,4.41,4.44,4.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-02-11 18:00:00",4.55,4.44,-99,3.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-06-11 19:00:00",4.42,4.44,4.41,4.43,4.32,4.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-06-23 19:00:00",4.49,4.53,4.43,4.33,4.25,4.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-07-07 19:00:00",4.82,4.41,4.29,4.77,4.26,4.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-07-21 19:00:00",4.26,4.34,4.37,4.43,4.24,4.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-08-05 19:00:00",4.31,4.85,4.29,4.34,4.14,4.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-08-19 19:00:00",4.48,4.3,4.36,4.24,4,4.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-09-01 19:00:00",4.46,4.48,4.44,4.31,4.22,4.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-09-17 19:00:00",4.38,4.38,4.31,4.34,4.24,4.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-10-07 19:00:00",4.41,4.26,4.35,4.43,4.38,4.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-12-09 18:00:00",4.21,NA,4.25,4.3,4.29,4.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021-03-02 18:00:00",4.35,4.38,4.32,3.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021-04-21 19:00:00",4.2,4.23,4.33,4.49,4.33,4.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021-05-16 19:00:00",4.2,4.25,4.24,4.41,4.28,4.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021-06-15 19:00:00",4.15,4.16,4.07,4.07,4.05,4.12,3.91,4,4.26,5.4,NA,NA,NA,NA,NA,NA,NA
"2021-07-15 19:00:00",4.45,4.46,4.52,4.21,4.24,4.14,4.14,4.17,4.26,4.45,NA,NA,NA,NA,NA,NA,NA
"2021-08-11 19:00:00",4,4.06,4.08,4.23,4.09,4.13,4.01,4.21,4.18,4.35,4.1,NA,NA,NA,NA,NA,NA
"2021-09-09 19:00:00",4.15,4.11,4.19,4.21,4.09,4.18,4.18,4.21,4.25,4.79,NA,NA,NA,NA,NA,NA,NA
"2021-10-07 19:00:00",4.3,4.37,4.53,5.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021-11-03 19:00:00",3.96,3.94,3.94,3.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022-02-07 18:00:00",3.79,3.71,3.8,3.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022-04-21 19:00:00",3.91,3.92,4.08,4.17,3.96,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022-05-15 19:00:00",NA,4.25,4.05,3.98,4.02,4.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022-06-13 19:00:00",9.58,4.28,7.76,4.35,7.65,4.02,4.22,4.17,4.15,4.32,NA,NA,NA,NA,NA,NA,NA
"2022-07-12 19:00:00",4.17,4.27,4.11,4.08,4.02,3.97,3.96,3.97,4.02,4.04,NA,NA,NA,NA,NA,NA,NA
"2016-04-14 19:00:00",NA,NA,NA,5.01,4.95,NA,4.9,4.9,NA,NA,NA,NA,5.01,NA,NA,NA,NA
"2016-04-21 19:00:00",NA,NA,NA,4.52,4.42,NA,4.57,4.59,NA,NA,NA,NA,5,NA,NA,NA,NA
"2016-05-05 19:00:00",NA,NA,NA,4.68,4.69,NA,4.66,4.68,NA,NA,NA,NA,4.79,NA,NA,NA,NA
"2016-05-11 19:00:00",NA,NA,NA,4.77,4.83,NA,4.99,4.79,NA,NA,NA,NA,4.94,NA,NA,NA,NA
"2016-05-19 19:00:00",NA,NA,NA,5.19,4.99,NA,4.99,5.19,NA,NA,NA,NA,5.05,NA,NA,NA,NA
"2016-05-22 19:00:00",NA,NA,NA,4.96,5.06,NA,5.05,4.97,NA,NA,NA,NA,5.02,NA,NA,NA,NA
"2016-05-31 19:00:00",NA,NA,NA,5.24,5.15,NA,5.14,5.13,NA,NA,NA,NA,5.4,NA,NA,NA,NA
"2016-06-05 19:00:00",NA,NA,NA,5.05,5.14,NA,5.16,5.05,NA,NA,NA,NA,5.4,NA,NA,NA,NA
"2016-06-12 19:00:00",NA,NA,NA,5.17,5.18,NA,5.13,4.99,NA,NA,NA,NA,5.4,NA,NA,NA,NA
"2016-06-20 19:00:00",NA,NA,NA,5.22,5.01,NA,5.26,5.23,NA,NA,NA,NA,5.44,NA,NA,NA,NA
"2016-06-26 19:00:00",NA,NA,NA,5.19,5.07,NA,5.02,4.96,NA,NA,NA,NA,5.43,NA,NA,NA,NA
"2016-07-05 19:00:00",NA,NA,NA,4.98,4.97,NA,4.79,5.05,NA,NA,NA,NA,5.01,NA,NA,NA,NA
"2016-07-11 19:00:00",NA,NA,NA,5.08,4.83,NA,4.97,4.92,NA,NA,NA,NA,4.97,NA,NA,NA,NA
"2016-07-18 19:00:00",NA,NA,NA,4.87,4.93,NA,5.01,4.83,NA,NA,NA,NA,5.24,NA,NA,NA,NA
"2016-07-25 19:00:00",NA,NA,NA,4.81,4.83,NA,4.73,4.76,NA,NA,NA,NA,4.84,NA,NA,NA,NA
"2016-08-01 19:00:00",NA,NA,NA,4.85,7.83,NA,4.8,4.74,NA,NA,NA,NA,4.84,NA,NA,NA,NA
"2016-08-07 19:00:00",NA,NA,NA,5.03,4.7,NA,4.98,4.76,NA,NA,NA,NA,4.98,NA,NA,NA,NA
"2016-08-15 19:00:00",NA,NA,NA,5.01,4.82,NA,4.69,4.77,NA,NA,NA,NA,4.94,NA,NA,NA,NA
"2016-08-22 19:00:00",NA,NA,NA,4.63,4.53,NA,4.38,4.65,NA,NA,NA,NA,4.52,NA,NA,NA,NA
"2016-09-07 19:00:00",NA,NA,NA,4.74,4.42,NA,4.66,4.55,NA,NA,NA,NA,4.64,NA,NA,NA,NA
"2016-09-11 19:00:00",NA,NA,NA,4.6,4.36,NA,4.55,4.37,NA,NA,NA,NA,4.6,NA,NA,NA,NA
"2016-10-09 19:00:00",NA,NA,NA,4.79,4.65,NA,4.54,4.69,NA,NA,NA,NA,4.59,NA,NA,NA,NA
"2016-10-16 19:00:00",NA,NA,NA,4.72,4.65,NA,4.74,4.61,NA,NA,NA,NA,4.62,NA,NA,NA,NA
"2016-10-24 19:00:00",NA,NA,NA,4.75,4.74,NA,4.72,4.74,NA,NA,NA,NA,4.73,NA,NA,NA,NA
"2016-10-31 19:00:00",NA,NA,NA,4.58,4.65,NA,4.56,4.55,NA,NA,NA,NA,4.49,NA,NA,NA,NA
"2016-11-13 18:00:00",NA,NA,NA,4.65,4.75,NA,4.92,4.81,NA,NA,NA,NA,4.77,NA,NA,NA,NA
